displayName,nflId,newId,tech
Cameron Jordan,37097,202209110078,5
Demario Davis,38607,202209110078,20
David Onyemata,43409,202209110078,3
Justin Evans,44862,202209110078,50
Marcus Davenport,46083,202209110078,5
Shy Tuttle,48544,202209110078,10
Pete Werner,53489,202209110078,20
Arik Armstead,42360,202209110286,3
Samson Ebukam,44938,202209110286,6
Fred Warner,46139,202209110286,60
Nick Bosa,47785,202209110286,5
Dre Greenlaw,47931,202209110286,10
Javon Kinlaw,52422,202209110286,1
Talanoa Hufanga,53609,202209110286,50
Fletcher Cox,38542,202209110486,2
Javon Hargrave,43378,202209110486,3
Haason Reddick,44825,202209110486,5
Kyzir White,46188,202209110486,30
Josh Sweat,46199,202209110486,7
T.J. Edwards,48516,202209110486,20
Jerry Hughes,35470,202209110556,5
Christian Kirksey,41300,202209110556,30
Maliek Collins,43356,202209110556,4
Kamu Grugier-Hill,43497,202209110556,10
Jonathan Greenard,52498,202209110556,7
Roy Lopez,53624,202209110556,1
Elandon Roberts,43503,202209110683,20
Jerome Baker,46142,202209110683,30
Zach Sieler,46307,202209110683,5
Christian Wilkins,47796,202209110683,1
Raekwon Davis,52464,202209110683,0
Jaelan Phillips,53447,202209110683,5
Jevon Holland,53465,202209110683,7
Jevon Holland,53465,202209110683,5
Calais Campbell,33131,202209110768,6
Calais Campbell,33131,202209110768,5
Josh Bynes,37778,202209110768,00
Michael Pierce,43694,202209110768,1
Patrick Queen,52436,202209110768,50
Justin Madubuike,52479,202209110768,2
Malik Harrison,52506,202209110768,7
Malik Harrison,52506,202209110768,6
Odafe Oweh,53460,202209110768,6
Odafe Oweh,53460,202209110768,1
Odafe Oweh,53460,202209110768,7
Bud Dupree,42365,202209110862,70
Bud Dupree,42365,202209110862,60
DeMarcus Walker,44863,202209110862,5
Zach Cunningham,44869,202209110862,00
Jeffery Simmons,47802,202209110862,3
Amani Hooker,47899,202209110862,60
Amani Hooker,47899,202209110862,50
David Long,47971,202209110862,70
David Long,47971,202209110862,60
Teair Tart,53073,202209110862,1
Denico Autry,42031,202209110883,5
Bud Dupree,42365,202209110883,5
Zach Cunningham,44869,202209110883,30
Jeffery Simmons,47802,202209110883,3
David Long,47971,202209110883,20
Teair Tart,53073,202209110883,3
Markus Golden,42401,202209111055,5
Nick Vigil,43376,202209111055,10
Zach Allen,47848,202209111055,7
Michael Dogbe,48032,202209111055,1
Rashard Lawrence,52539,202209111055,2
Zaven Collins,53445,202209111055,30
Preston Smith,42381,202209111286,3
Kenny Clark,43316,202209111286,0
Kenny Clark,43316,202209111286,1
De'Vondre Campbell,43404,202209111286,70
De'Vondre Campbell,43404,202209111286,10
De'Vondre Campbell,43404,202209111286,60
Dean Lowry,43426,202209111286,1
Rashan Gary,47795,202209111286,6
Rashan Gary,47795,202209111286,1
Krys Barnes,52863,202209111286,00
Quay Walker,54487,202209111286,50
Lavonte David,38588,202209111389,10
Akiem Hicks,38619,202209111389,6
William Gholston,40074,202209111389,3
Shaquil Barrett,41915,202209111389,5
Vita Vea,46081,202209111389,1
Devin White,47788,202209111389,50
Joe Tryon,53461,202209111389,7
Joe Tryon,53461,202209111389,5
DeShawn Williams,42826,202209120064,2
Alex Singleton,42929,202209120064,00
D.J. Jones,45011,202209120064,0
Bradley Chubb,46074,202209120064,5
Dre'Mont Jones,47854,202209120064,5
Khalil Mack,41231,202209150055,7
Joey Bosa,43292,202209150055,2
Austin Johnson,43332,202209150055,2
Sebastian Joseph,46264,202209150055,2
Drue Tranquill,47913,202209150055,20
Kenneth Murray,52431,202209150055,10
Joey Bosa,43292,202209150076,7
Joey Bosa,43292,202209150076,5
Austin Johnson,43332,202209150076,0
Derwin James,46086,202209150076,60
Sebastian Joseph,46264,202209150076,1
Drue Tranquill,47913,202209150076,10
Khalil Mack,41231,202209150097,4
Khalil Mack,41231,202209150097,7
Kyle Van Noy,41269,202209150097,20
Joey Bosa,43292,202209150097,5
Joey Bosa,43292,202209150097,6
Austin Johnson,43332,202209150097,5
Morgan Fox,43791,202209150097,2
Derwin James,46086,202209150097,5
Derwin James,46086,202209150097,6
Sebastian Joseph,46264,202209150097,2
Kenneth Murray,52431,202209150097,10
Calais Campbell,33131,202209180096,4
Josh Bynes,37778,202209180096,70
Michael Pierce,43694,202209180096,1
Patrick Queen,52436,202209180096,10
Justin Madubuike,52479,202209180096,3
Malik Harrison,52506,202209180096,7
Odafe Oweh,53460,202209180096,5
Jadeveon Clowney,41227,202209180184,5
Anthony Walker,44974,202209180184,00
Taven Bryan,46098,202209180184,2
Jordan Elliott,52496,202209180184,2
Jeremiah Owusu-Koramoah,53481,202209180184,20
Roy Robertson-Harris,43787,202209180381,2
Folorunso Fatukasi,46249,202209180381,4
Foyesade Oluokun,46269,202209180381,50
Josh Allen,47790,202209180381,5
Davon Hamilton,52481,202209180381,2
Andre Cisco,53494,202209180381,50
Travon Walker,54466,202209180381,7
Travon Walker,54466,202209180381,5
Devin Lloyd,54492,202209180381,00
Lavonte David,38588,202209180480,40
Akiem Hicks,38619,202209180480,1
William Gholston,40074,202209180480,5
Shaquil Barrett,41915,202209180480,5
Vita Vea,46081,202209180480,2
Devin White,47788,202209180480,10
Mike Edwards,47882,202209180480,50
Mike Edwards,47882,202209180480,70
Joe Tryon,53461,202209180480,5
Shaq Thompson,42368,202209180579,20
Matt Ioannidis,43441,202209180579,5
Xavier Woods,45004,202209180579,7
Frankie Luvu,46527,202209180579,30
Brian Burns,47799,202209180579,50
Derrick Brown,52415,202209180579,0
Yetur Gross-Matos,52446,202209180579,5
Lawrence Guy,37308,202209180657,4
Matt Judon,43435,202209180657,5
Deatrich Wise,44944,202209180657,6
Davon Godchaux,44991,202209180657,1
Ja'Whaun Bentley,46212,202209180657,70
Ja'Whaun Bentley,46212,202209180657,50
Mack Wilson,47938,202209180657,10
Kyle Dugger,52445,202209180657,30
Bobby Wagner,38577,202209180780,20
Aaron Donald,41239,202209180780,2
A'Shawn Robinson,43335,202209180780,4
Greg Gaines,47917,202209180780,1
Justin Hollins,47939,202209180780,5
Ernest Jones,53532,202209180780,50
Al Woods,35562,202209180856,2
Shelby Harris,41464,202209180856,2
Uchenna Nwosu,46117,202209180856,5
Poona Ford,46487,202209180856,5
Bryan Mone,48198,202209180856,4
Jordyn Brooks,52435,202209180856,00
Darrell Taylor,52456,202209180856,70
Al Woods,35562,202209180877,2
Shelby Harris,41464,202209180877,2
Uchenna Nwosu,46117,202209180877,7
Poona Ford,46487,202209180877,5
Bryan Mone,48198,202209180877,4
Jordyn Brooks,52435,202209180877,10
Darrell Taylor,52456,202209180877,5
D.J. Reader,43455,202209180956,2
Trey Hendrickson,44915,202209180956,5
Josh Tupou,45226,202209180956,1
B.J. Hill,46138,202209180956,6
Sam Hubbard,46146,202209180956,7
Sam Hubbard,46146,202209180956,5
Germaine Pratt,47855,202209180956,40
Logan Wilson,52473,202209180956,20
Vonn Bell,43350,202209180977,70
D.J. Reader,43455,202209180977,0
Trey Hendrickson,44915,202209180977,7
B.J. Hill,46138,202209180977,3
Sam Hubbard,46146,202209180977,3
Germaine Pratt,47855,202209180977,5
Logan Wilson,52473,202209180977,00
Randy Gregory,42403,202209181078,7
Alex Singleton,42929,202209181078,50
D.J. Jones,45011,202209181078,1
Bradley Chubb,46074,202209181078,5
Dre'Mont Jones,47854,202209181078,3
Jonas Griffith,52706,202209181078,40
Alex Singleton,42929,202209181099,30
D.J. Jones,45011,202209181099,1
Bradley Chubb,46074,202209181099,5
Dre'Mont Jones,47854,202209181099,2
Jonas Griffith,52706,202209181099,20
J.J. Watt,37084,202209181156,7
J.J. Watt,37084,202209181156,6
Markus Golden,42401,202209181156,6
Markus Golden,42401,202209181156,7
Tanner Vallejo,45008,202209181156,60
Tanner Vallejo,45008,202209181156,50
Dennis Gardeck,46657,202209181156,10
Zach Allen,47848,202209181156,1
Rashard Lawrence,52539,202209181156,2
Zaven Collins,53445,202209181156,20
Robert Quinn,37087,202209181256,5
Angelo Blackson,42443,202209181256,1
Al-Quadin Muhammad,45009,202209181256,7
Nicholas Morrow,45345,202209181256,30
Roquan Smith,46077,202209181256,10
Justin Jones,46153,202209181256,1
Jaquan Brisker,54513,202209181256,70
Robert Quinn,37087,202209181288,6
Angelo Blackson,42443,202209181288,1
Eddie Jackson,44925,202209181288,70
Al-Quadin Muhammad,45009,202209181288,2
Nicholas Morrow,45345,202209181288,10
Roquan Smith,46077,202209181288,30
Justin Jones,46153,202209181288,3
Denico Autry,42031,202209190093,5
Bud Dupree,42365,202209190093,7
Zach Cunningham,44869,202209190093,10
Jeffery Simmons,47802,202209190093,3
Ugochukwu Amadi,47915,202209190093,70
David Long,47971,202209190093,30
Teair Tart,53073,202209190093,0
Tyson Alualu,35449,202209220056,2
Cameron Heyward,37104,202209220056,5
Myles Jack,43325,202209220056,10
Larry Ogunjobi,44877,202209220056,2
Terrell Edmunds,46097,202209220056,50
Terrell Edmunds,46097,202209220056,60
Devin Bush,47793,202209220056,00
Malik Reed,48089,202209220056,5
Malik Reed,48089,202209220056,3
Malik Reed,48089,202209220056,6
Alex Highsmith,52510,202209220056,4
Alex Highsmith,52510,202209220056,7
Cameron Heyward,37104,202209220084,3
Myles Jack,43325,202209220084,10
Larry Ogunjobi,44877,202209220084,2
Terrell Edmunds,46097,202209220084,70
Devin Bush,47793,202209220084,30
Malik Reed,48089,202209220084,5
Alex Highsmith,52510,202209220084,7
Cameron Jordan,37097,202209250066,5
Demario Davis,38607,202209250066,20
